CustomerID,SignupDate,Gender,Age,State,AcquisitionChannel,CampaignName,IsFirstTimeBorrower,ProductUsed,TimeToFirstLoan,TimeOnPlatform,AppDownloads,ReferralCount,LifetimeLoanCount,TotalBorrowedAmount,HasActiveLoan,IsChurned,LastActivityDate,SatisfactionScore,CSATComment,CampaignCostPerUser,ConversionRate,SourceMedium,RevenueGenerated
C1000,2024-05-07,Female,59,Abuja,USSD,NewYearBoost,0,POSLoan,,454,5,7,4,408948,0,0,2024-04-30,1.6,Too many ads,84.27,0.64,referral/email,6369.33
C1001,2023-10-06,Male,33,Port Harcourt,Referral,XmasPush,1,CashLoan,60,275,3,8,4,938335,1,0,2023-05-16,4.8,Great service,483.87,0.88,facebook/cpc,105844.56
C1002,2023-12-02,Male,28,Lagos,USSD,,0,WalletOnly,,54,2,8,3,1349296,0,0,2023-08-20,4.8,,228.56,0.56,referral/email,151630.08
C1003,2023-11-01,Female,58,Port Harcourt,Referral,NewYearBoost,1,WalletOnly,,317,2,8,4,313004,0,1,2024-04-19,2.2,Needs improvement,436.32,0.29,partner/direct,183548.25
C1004,2023-06-14,Male,29,Abuja,USSD,BackToSchool,0,BNPL,59,52,5,1,11,371775,0,0,2024-01-25,3.2,Too many ads,381.68,0.54,facebook/cpc,266880.94
C1005,2023-02-09,Female,19,Ibadan,USSD,NewYearBoost,0,POSLoan,50,65,2,10,3,115712,1,1,2023-09-25,2.0,Loved it,164.06,0.68,google/cpc,232939.13
C1006,2023-06-29,Female,19,Ibadan,Partner,XmasPush,0,BNPL,18,333,5,5,10,1039737,0,1,2024-04-29,3.2,Too many ads,184.77,0.38,referral/email,278607.82
C1007,2023-03-17,Female,52,Port Harcourt,Organic,NewYearBoost,0,POSLoan,,126,3,6,0,1025656,0,1,2023-09-18,4.8,Too many ads,224.22,0.09,referral/email,228713.97
C1008,2024-03-22,Female,33,Ibadan,USSD,,0,WalletOnly,,431,5,9,0,679141,0,0,2023-10-11,1.8,Not intuitive,85.23,0.78,facebook/cpc,39349.26
C1009,2023-02-11,Female,23,Lagos,USSD,LoanBlitz,0,BNPL,45,320,1,8,6,431330,0,1,2023-09-01,1.0,Not intuitive,290.84,0.61,google/cpc,256921.94
C1010,2023-02-05,Male,35,Lagos,Partner,NewYearBoost,0,BNPL,7,363,4,1,4,1201316,0,1,2023-08-10,2.0,Needs improvement,321.09,0.72,referral/email,94555.77
C1011,2024-04-04,Male,47,Kano,Referral,NewYearBoost,1,BNPL,,453,5,5,11,115912,1,0,2024-01-03,3.8,Not intuitive,5.09,0.72,google/cpc,285721.23
C1012,2023-05-26,Female,55,Ibadan,Organic,BackToSchool,0,BNPL,42,239,3,8,3,787202,0,1,2023-03-27,2.7,,23.78,0.57,partner/direct,179880.16
C1013,2023-02-15,Male,19,Port Harcourt,Referral,,1,BNPL,,274,0,1,2,1146659,0,0,2023-08-12,4.8,Great service,91.22,0.63,facebook/cpc,81243.38
C1014,2023-07-26,Male,37,Kano,PaidAds,LoanBlitz,1,BNPL,,244,5,10,12,1334300,0,1,2023-04-28,1.8,,464.94,0.08,partner/direct,25083.64
C1015,2023-01-30,Female,51,Port Harcourt,Referral,,0,POSLoan,,404,1,5,0,114065,1,0,2023-04-08,3.5,Not intuitive,431.35,0.32,organic/search,156927.59
C1016,2023-02-03,Female,39,Port Harcourt,Organic,,1,POSLoan,,228,3,4,12,1118995,0,1,2023-09-07,1.8,Too many ads,184.8,0.22,partner/direct,263461.29
C1017,2023-04-29,Female,47,Port Harcourt,USSD,,1,BNPL,,141,0,10,9,1267819,1,1,2023-02-25,3.4,Loved it,108.6,0.87,facebook/cpc,60804.57
C1018,2023-01-24,Female,37,Lagos,Partner,XmasPush,0,CashLoan,,32,5,5,10,831853,0,0,2023-12-20,1.6,Loved it,399.26,0.19,facebook/cpc,58461.06
C1019,2023-06-04,Male,32,Lagos,PaidAds,,0,CashLoan,,319,0,3,0,728462,1,1,2023-08-07,1.6,,313.16,0.23,organic/search,214429.38
C1020,2024-01-12,Male,42,Ibadan,Organic,BackToSchool,1,CashLoan,,108,5,5,1,1037480,1,0,2024-04-16,4.6,Loved it,396.34,0.37,referral/email,93588.5
C1021,2023-04-23,Male,58,Abuja,Partner,LoanBlitz,1,WalletOnly,10,248,1,3,12,1477213,1,1,2023-12-07,2.9,Needs improvement,172.66,0.27,referral/email,43995.94
C1022,2023-03-26,Male,18,Abuja,Referral,LoanBlitz,1,BNPL,,69,3,1,7,201017,1,1,2023-10-29,4.2,,367.94,0.54,organic/search,137915.26
C1023,2023-05-14,Female,29,Abuja,Organic,LoanBlitz,0,BNPL,,21,1,0,7,753395,1,1,2023-09-20,3.0,Not intuitive,45.14,0.82,facebook/cpc,36603.88
C1024,2023-06-25,Female,50,Abuja,USSD,LoanBlitz,1,CashLoan,,36,5,4,9,819683,0,1,2024-02-10,3.1,Not intuitive,101.92,0.27,google/cpc,221148.69
C1025,2023-07-01,Female,40,Ibadan,PaidAds,NewYearBoost,1,WalletOnly,55,293,0,1,3,248807,1,0,2023-10-04,1.1,Great service,216.32,0.83,facebook/cpc,285572.35
C1026,2024-02-04,Female,30,Ibadan,USSD,NewYearBoost,0,CashLoan,37,466,4,5,3,287466,1,0,2023-10-21,4.0,Too many ads,459.66,0.88,facebook/cpc,244501.44
C1027,2023-01-28,Male,23,Port Harcourt,PaidAds,,0,CashLoan,,450,1,7,6,596737,0,0,2023-08-11,1.4,Great service,191.38,0.61,organic/search,227873.06
C1028,2023-05-21,Female,43,Abuja,Referral,,0,CashLoan,54,62,2,3,0,989481,0,0,2024-04-20,1.2,,85.74,0.76,partner/direct,253743.02
C1029,2023-04-29,Male,44,Port Harcourt,Organic,LoanBlitz,0,WalletOnly,43,40,2,1,0,1336304,1,1,2024-04-30,1.0,,5.43,0.08,facebook/cpc,274268.41
C1030,2023-03-22,Male,54,Port Harcourt,USSD,NewYearBoost,0,BNPL,20,469,1,4,10,306330,1,1,2024-04-13,4.2,,110.78,0.64,referral/email,148337.98
C1031,2023-10-28,Male,31,Ibadan,USSD,XmasPush,1,POSLoan,12,434,2,2,3,600414,0,0,2024-04-26,1.6,,436.7,0.08,organic/search,233968.1
C1032,2024-01-10,Male,53,Lagos,PaidAds,,0,WalletOnly,20,76,1,7,12,612308,0,1,2024-06-15,1.2,Loved it,248.16,0.83,organic/search,115581.14
C1033,2023-03-28,Male,46,Kano,Referral,LoanBlitz,1,WalletOnly,,26,4,1,9,1132099,1,1,2024-05-17,1.8,Not intuitive,451.14,0.78,referral/email,290560.71
C1034,2023-07-26,Female,28,Kano,Organic,NewYearBoost,1,CashLoan,,458,1,1,0,1102046,1,0,2023-09-25,4.6,,439.16,0.32,referral/email,297771.02
C1035,2024-03-06,Female,56,Abuja,Referral,XmasPush,0,CashLoan,,461,1,5,12,68322,0,1,2023-09-08,2.4,Too many ads,121.07,0.49,referral/email,285207.01
C1036,2023-03-26,Male,53,Kano,USSD,,0,CashLoan,,27,4,6,10,10479,1,1,2024-01-03,3.7,Not intuitive,65.24,0.44,google/cpc,49095.5
C1037,2023-03-19,Female,39,Abuja,USSD,LoanBlitz,1,CashLoan,45,484,0,9,8,994306,0,1,2024-01-07,3.8,Loved it,115.58,0.43,partner/direct,26705.07
C1038,2023-06-08,Female,35,Abuja,Organic,NewYearBoost,1,BNPL,,126,2,6,8,561245,0,0,2023-05-13,1.0,Loved it,220.98,0.7,referral/email,203484.2
C1039,2023-04-12,Female,36,Abuja,PaidAds,NewYearBoost,0,POSLoan,,390,4,6,7,1408736,0,1,2023-12-20,2.4,,206.64,0.25,google/cpc,161932.32
C1040,2024-02-04,Female,41,Port Harcourt,PaidAds,,1,CashLoan,6,413,5,9,11,1303289,1,0,2024-06-17,1.3,Loved it,349.07,0.06,facebook/cpc,46735.44
C1041,2023-10-23,Female,22,Port Harcourt,Organic,BackToSchool,1,POSLoan,,172,2,3,8,436390,1,0,2023-04-02,2.8,Needs improvement,289.77,0.82,organic/search,163314.69
C1042,2023-01-29,Male,43,Port Harcourt,PaidAds,XmasPush,1,WalletOnly,,201,1,4,11,365933,0,1,2023-04-30,2.8,Great service,37.41,0.1,partner/direct,21542.67
C1043,2024-01-26,Female,26,Kano,Referral,LoanBlitz,1,CashLoan,,298,3,4,3,255335,0,0,2023-01-02,2.6,Too many ads,128.41,0.54,google/cpc,292730.37
C1044,2023-09-15,Male,53,Ibadan,USSD,BackToSchool,0,CashLoan,,23,4,4,4,1383737,0,0,2024-04-13,2.2,Needs improvement,346.9,0.7,referral/email,77515.68
C1045,2023-12-31,Male,34,Lagos,PaidAds,LoanBlitz,0,POSLoan,,354,3,10,11,393784,1,1,2023-12-02,4.1,,464.83,0.44,referral/email,259571.93
C1046,2023-01-17,Female,47,Abuja,Organic,XmasPush,0,CashLoan,,152,5,7,8,1268971,0,0,2023-05-18,2.7,Needs improvement,465.95,0.49,referral/email,161975.2
C1047,2024-01-14,Male,50,Port Harcourt,PaidAds,XmasPush,1,CashLoan,,73,3,1,4,664098,0,0,2024-02-13,2.1,Needs improvement,25.12,0.57,partner/direct,45175.26
C1048,2023-03-20,Male,45,Kano,USSD,LoanBlitz,1,BNPL,42,54,1,7,3,1335424,1,1,2023-12-25,1.4,,374.57,0.09,referral/email,95555.57
